output_variable_name,difference_variable,multiplier,multiplier_unit,annual_change,output_display_name,sum,natural_multiplier_units,display_notes,internal_notes,cb_function,cb_var_group
cb:enfu:fuel_cost:ccsq:hydrogen,totalvalue_enfu_fuel_consumed_ccsq_fuel_hydrogen,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrogen,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:ccsq:natural_gas,totalvalue_enfu_fuel_consumed_ccsq_fuel_natural_gas,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,natural_gas,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:biofuels,totalvalue_enfu_fuel_consumed_entc_fuel_biofuels,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,biofuels,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:biogas,totalvalue_enfu_fuel_consumed_entc_fuel_biogas,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,biogas,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:biomass,totalvalue_enfu_fuel_consumed_entc_fuel_biomass,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,biomass,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:coal,totalvalue_enfu_fuel_consumed_entc_fuel_coal,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,coal,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:coke,totalvalue_enfu_fuel_consumed_entc_fuel_coke,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,coke,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:diesel,totalvalue_enfu_fuel_consumed_entc_fuel_diesel,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,diesel,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:electricity,totalvalue_enfu_fuel_consumed_entc_fuel_electricity,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,electricity,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:gasoline,totalvalue_enfu_fuel_consumed_entc_fuel_gasoline,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,gasoline,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:hydrocarbon_gas_liquids,totalvalue_enfu_fuel_consumed_entc_fuel_hydrocarbon_gas_liquids,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrocarbon_gas_liquids,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:hydrogen,totalvalue_enfu_fuel_consumed_entc_fuel_hydrogen,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrogen,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:kerosene,totalvalue_enfu_fuel_consumed_entc_fuel_kerosene,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,kerosene,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:natural_gas,totalvalue_enfu_fuel_consumed_entc_fuel_natural_gas,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,natural_gas,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:nuclear,totalvalue_enfu_fuel_consumed_entc_fuel_nuclear,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,nuclear,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:oil,totalvalue_enfu_fuel_consumed_entc_fuel_oil,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,oil,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:other,totalvalue_enfu_fuel_consumed_entc_fuel_other,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,other,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:entc:waste,totalvalue_enfu_fuel_consumed_entc_fuel_waste,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,waste,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:inen:biomass,totalvalue_enfu_fuel_consumed_inen_fuel_biomass,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,biomass,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:inen:coal,totalvalue_enfu_fuel_consumed_inen_fuel_coal,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,coal,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:inen:coke,totalvalue_enfu_fuel_consumed_inen_fuel_coke,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,coke,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:inen:diesel,totalvalue_enfu_fuel_consumed_inen_fuel_diesel,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,diesel,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:inen:electricity,totalvalue_enfu_fuel_consumed_inen_fuel_electricity,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,electricity,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:inen:gasoline,totalvalue_enfu_fuel_consumed_inen_fuel_gasoline,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,gasoline,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:inen:hydrocarbon_gas_liquids,totalvalue_enfu_fuel_consumed_inen_fuel_hydrocarbon_gas_liquids,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrocarbon_gas_liquids,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:inen:hydrogen,totalvalue_enfu_fuel_consumed_inen_fuel_hydrogen,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrogen,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:inen:kerosene,totalvalue_enfu_fuel_consumed_inen_fuel_kerosene,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,kerosene,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:inen:natural_gas,totalvalue_enfu_fuel_consumed_inen_fuel_natural_gas,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,natural_gas,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:inen:oil,totalvalue_enfu_fuel_consumed_inen_fuel_oil,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,oil,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:scoe:biomass,totalvalue_enfu_fuel_consumed_scoe_fuel_biomass,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,biomass,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:scoe:coal,totalvalue_enfu_fuel_consumed_scoe_fuel_coal,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,coal,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:scoe:diesel,totalvalue_enfu_fuel_consumed_scoe_fuel_diesel,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,diesel,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:scoe:electricity,totalvalue_enfu_fuel_consumed_scoe_fuel_electricity,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,electricity,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:scoe:gasoline,totalvalue_enfu_fuel_consumed_scoe_fuel_gasoline,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,gasoline,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:scoe:hydrocarbon_gas_liquids,totalvalue_enfu_fuel_consumed_scoe_fuel_hydrocarbon_gas_liquids,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrocarbon_gas_liquids,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:scoe:hydrogen,totalvalue_enfu_fuel_consumed_scoe_fuel_hydrogen,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrogen,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:scoe:kerosene,totalvalue_enfu_fuel_consumed_scoe_fuel_kerosene,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,kerosene,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:scoe:natural_gas,totalvalue_enfu_fuel_consumed_scoe_fuel_natural_gas,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,natural_gas,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:trns:biofuels,totalvalue_enfu_fuel_consumed_trns_fuel_biofuels,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,biofuels,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:trns:diesel,totalvalue_enfu_fuel_consumed_trns_fuel_diesel,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,diesel,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:trns:electricity,totalvalue_enfu_fuel_consumed_trns_fuel_electricity,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,electricity,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:trns:gasoline,totalvalue_enfu_fuel_consumed_trns_fuel_gasoline,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,gasoline,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:trns:hydrocarbon_gas_liquids,totalvalue_enfu_fuel_consumed_trns_fuel_hydrocarbon_gas_liquids,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrocarbon_gas_liquids,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:trns:hydrogen,totalvalue_enfu_fuel_consumed_trns_fuel_hydrogen,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrogen,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:trns:kerosene,totalvalue_enfu_fuel_consumed_trns_fuel_kerosene,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,kerosene,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
cb:enfu:fuel_cost:trns:natural_gas,totalvalue_enfu_fuel_consumed_trns_fuel_natural_gas,-500000.0,ND,1,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,natural_gas,cb_strategy_specific_function,enfu_fuel_cost_factors_detail
